% Model,EMSI_model_V1_C_rate_1_T_ref_298_Permeability_1.9E-15_r_pos_7.mph
% Version,COMSOL 6.3.0.420
% Date,"Apr 11 2026, 17:17"
% Dimension,0
% Nodes,7410
% Expressions,9
% Description,"overpot_electrolyte, overpot_electrolyte_ohmic, overpot_electrolyte_concentration, overpot_ct, equilibrium_pot, overpot_rest, Cell potential, Number of cycles, Cell current"
% t,overpot_electrolyte (V),overpot_electrolyte_ohmic (V),overpot_electrolyte_concentration (V),overpot_ct (V),equilibrium_pot (V),overpot_rest (V),liion.cdc1.phis0 (V),liion.cdc1.cycle_counter,liion.cdc1.Icell (A)
2850,-0.09873635710537132,-0.03898920116111481,-0.05974715594425651,-0.03997288979234592,3.924121455636653,-0.08705300931466697,3.6983591994242686,0,-0.8479272327816024
2880,-0.09852044389284326,-0.038842980992102295,-0.05967746290074096,-0.040459737885130895,3.9183275392744084,-0.08797964772135364,3.6913677097750806,0,-0.8479272327816019
2910,-0.09818438077956376,-0.03871491067863958,-0.05946947010092418,-0.04088802193871462,3.912352219295031,-0.08885383112469691,3.6844259854520556,0,-0.8479272327816011
2940,-0.09777445808832208,-0.038571880536060546,-0.059202577552261534,-0.04129538162498511,3.906255291942216,-0.08966918736622478,3.677516264862684,0,-0.847927232781602
2970,-0.0973844497406518,-0.03844504761436905,-0.05893940212628275,-0.04160615895443634,3.8999826080445756,-0.09058007662345582,3.6704119227260317,0,-0.847927232781602
3000,-0.09700071581072056,-0.03831877224453075,-0.05868194356618981,-0.04202130991907313,3.893500132299641,-0.09133950822295125,3.663138598346896,0,-0.8479272327816023
3030,-0.0965998674858545,-0.03817631805033643,-0.05842354943551807,-0.042468603272340644,3.886717870928012,-0.09191121205642175,3.655738188113395,0,-0.8479272327816019
3060,-0.09616470182406908,-0.038005950487635755,-0.05815875133643333,-0.042888206283121226,3.8796056785792263,-0.09240545645562911,3.648147314016407,0,-0.8479272327816018
3090,-0.09569416926157925,-0.03782064559993617,-0.057873523661643084,-0.04337199906386869,3.8722104058085423,-0.09270273611699453,3.6404415013661,0,-0.8479272327816015
3120,-0.09540823186776634,-0.03776666062927046,-0.05764157123849588,-0.043876615187383824,3.864434088659595,-0.09280714211565202,3.6323420994887927,0,-0.8479272327815984
3150,-0.09539826606898286,-0.03783719869015719,-0.057561067378825666,-0.044268251590026994,3.856409357751476,-0.09291223917036548,3.623830600922101,0,-0.8479272327816018
3180,-0.095664043063999,-0.03800562494985405,-0.05765841811414495,-0.04478704289473169,3.8477652214249503,-0.09237030313238859,3.614943832333831,0,-0.847927232781602
3210,-0.09637162566552507,-0.038383387071764745,-0.05798823859376032,-0.045400782619536326,3.838931665822151,-0.09185003076105361,3.605309226776036,0,-0.8479272327816016
3240,-0.09795231173313593,-0.039183100575336534,-0.05876921115779939,-0.046339184356667146,3.8295541763679433,-0.09078314880496119,3.594479531473179,0,-0.8479272327816014
3270,-0.10052039675777855,-0.040357197349040544,-0.060163199408738,-0.04731214110501951,3.8197237659948136,-0.08957768534870733,3.582313542783308,0,-0.8479272327816012
3300,-0.10401002561254458,-0.04182203089327884,-0.062187994719265734,-0.04851426317096669,3.809640917187906,-0.08810093578772421,3.5690156926166705,0,-0.8479272327816021
3330,-0.10730126693437902,-0.042934743134256756,-0.06436652380012227,-0.0495385077584529,3.7995308843317606,-0.08636401238175342,3.556327097257175,0,-0.847927232781602
3360,-0.10938723237149417,-0.04344161087397305,-0.06594562149752112,-0.05012394016476472,3.7896309958607812,-0.08466512271758642,3.545454700606936,0,-0.8479272327816018
